jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Phylloscopus_reguloides,1,9,0.111,Sylviidae,Old World warblers
Platalea_leucorodia,9,36,0.25,Threskiornithidae,Ibises and spoonbills
Pogoniulus_subsulphureus,0,2,0.0,Ramphastidae,Toucans and barbets
Megalaima_lineata,3,5,0.6,Ramphastidae,Toucans and barbets
Otus_flammeolus,0,8,0.0,Strigidae,Owls
Sialia_mexicana,4,9,0.444,Turdidae,Thrushes
Terpsiphone_paradisi,17,46,0.37,Monarchidae,Monarchs
Tityra_inquisitor,0,12,0.0,Cotingidae,Cotingas
Trogon_mexicanus,0,3,0.0,Trogonidae,Trogons
Aythya_marila,15,23,0.652,Anatidae,"Ducks, geese and swans"
