"LOCALITY_ID","SAMPLE_ID"
"L2283093","0"
"L4903659","0"
"L6782816","0"
"L2994951","0"
"L3948272","0"
"L6488713","0"
"L3870142","0"
"L6687370","0"
"L4509975","0"
"L4627741","0"
"L3188784","0"
"L7223754","0"
"L2039267","0"
"L9501625","0"
"L5248567","0"
"L2415532","0"
"L2329696","0"
"L8654390","0"
"L2351417","0"
"L3949628","0"
"L5101158","0"
"L10122900","0"
"L4347392","0"
"L3290632","0"
"L4792634","0"
"L6636353","0"
"L4285691","0"
"L2314029","0"
"L6669094","0"
"L2425949","0"
"L3435012","0"
"L4820705","0"
"L10716102","0"
"L6675201","0"
"L4341223","0"
"L3891349","0"
"L8667446","0"
"L2570076","0"
"L5186010","0"
"L4303573","0"
"L2319930","0"
"L6669088","0"
"L2076370","0"
"L6552773","0"
"L9031233","0"
"L4277544","0"
"L4303505","0"
"L7127878","0"
"L5260547","0"
"L4277721","0"
"L3144302","0"
"L4277212","0"
"L954330","0"
"L4356486","0"
"L2434912","0"
"L5192267","0"
"L3983809","0"
"L5397704","0"
"L5286938","0"
"L3188811","0"
"L4024101","0"
"L5594364","0"
"L3409787","0"
"L5273648","0"
"L6554703","0"
"L3891366","0"
"L3492490","0"
"L6669105","0"
"L9951200","0"
"L1902819","0"
"L8606641","0"
"L4122701","0"
"L4381794","0"
"L3824965","0"
"L5929343","0"
"L1915685","0"
"L4811579","0"
"L5602717","0"
"L7017360","0"
"L6669107","0"
"L2318672","0"
"L4277016","0"
"L5123401","0"
"L2670874","0"
"L6669089","0"
"L2766461","0"
"L3498174","0"
"L4959434","0"
"L5569795","0"
"L3801922","0"
"L4306614","0"
"L2025478","0"
"L5164632","0"
"L5569884","0"
"L5569789","0"
"L5612063","0"
"L5797009","0"
"L5839927","0"
"L6669086","0"
"L5243085","0"
"L8667286","0"
"L6755832","0"
"L7070978","0"
"L4316893","0"
"L6708882","0"
"L3333565","0"
"L2628631","0"
"L6422550","0"
"L8814149","0"
"L1898642","0"
"L2274758","0"
"L4611209","0"
"L5726502","0"
"L2761993","0"
"L483337","0"
"L5415587","0"
"L3237071","0"
"L4810686","0"
"L957929","0"
"L5298117","0"
"L8190245","0"
"L241019","0"
"L2377690","0"
"L2510911","0"
"L6516745","0"
"L4148479","0"
"L2209489","0"
"L450409","0"
"L628460","0"
"L2386418","0"
"L627678","0"
"L3015505","0"
"L276657","0"
